Used For,Manufacturer  or Supplier Part Number,Description,Manufacturer or Supplier,Quanity, Cost per Unit ,Total Cost,Link
Timer,90925A148,"Torx Rounded Head Screw Number 6 Size 1/2"" Long",McMASTER-CARR,8,$0.20 ,$1.60 ,https://www.mcmaster.com/90925A148/
Timer,93802A221,"18-8 Pan Head Phillips Screw 0-80 Thread 1/4"" Long",McMASTER-CARR,32,$0.07 ,$2.24 ,https://www.mcmaster.com/91772A055/
Lock,91292A115,18-8 Socket Head Screw M3 x 0.5 mm 16 mm Long,McMASTER-CARR,8,$0.07 ,$0.57 ,https://www.mcmaster.com/91292A115/
Lock,91828A211,18-8 Hex Nut M3 x 0.5 mm Thread,McMASTER-CARR,8,$0.05 ,$0.40 ,https://www.mcmaster.com/91828A211/
Timer,Timer-Assembly-Casing,Main casing for timer and electronics,NA - 3D Printed,1,-,-,-
Timer,Timer-Assembly-Casing-Logo-Insert,TOOOL Logo insert for main casing,NA - 3D Printed,2,-,-,-
Timer,Timer-Assembly-Floor-Panel,Floor panel to seal main casing,NA - 3D Printed,1,-,-,-
Timer,Timer-Assembly-Floor-Panel-Grommet,Grommet to place on power cable and into floor panel,NA - 3D Printed,2,-,-,-
Timer,Timer-Assembly-Casing-Lid-Cover,Cover to protect top of casing surface in transit,NA - 3D Printed,1,-,-,-
Lock,Lock-Assembly-Shackle-Side,Lock casing covering shackle,NA - 3D Printed,8,-,-,-
Lock,Lock-Assembly-Connector-Side,Lock casing covering connector,NA - 3D Printed,8,-,-,-
Lock / Timer,Receptacle-Cover,Covers to protect receptacles when not in use,NA - 3D Printed,16,-,-,-
Cables / Timer,MP-H002-04-156,Assorted Sizes of Heat Shrink Tubing,Amazon,As Needed,-,$8.79 ,https://www.amazon.com/gp/product/B07QM8249H/
Timer,B07T4SYVYG,22 AWG Stranded Wire Kit Silicone 6 Colors  7m Each Spool ,Amazon,As Needed,-,$16.95 ,https://www.amazon.com/gp/product/B07T4SYVYG/
Lock / Cables / Timer,3096525-M ,Multicore Solder Wire 180 C ,Loctite,As Needed,-,$56.99 ,https://www.amazon.com/gp/product/B00DKF13JY/
Timer,908570,Clear Silicone Waterproof Sealant,Loctite,As Needed,-,$9.13 ,https://www.amazon.com/dp/B0002BBX3U/
Lock / Timer,PLA-1.75-SILKY-RED,PLA Filament 1.75mm Shining Red,ZIRO,As Needed,-,$20.99 ,https://www.amazon.com/gp/product/B08BG6ZPF1/
Timer,Prusament PLA Galaxy Black,PLA Filament 1.75mm Galaxy Black,PRUSA,As Needed,-,$29.99 ,https://www.prusa3d.com/product/prusament-pla-prusa-galaxy-black-1kg/
,,,,,TOTAL,"$1,144.18 ",
,,,,,,,
,,,,,,,
,,,,,,,
